variable,cramers_v,chi2,interpretation,emoji_cramers,tipo_cramers,chi2_stat,p_value,dof,is_significant,significance_level,emoji_chi2,tipo_chi2,decision_category,decision_emoji
credit_amount,0.9652699268836835,931.7460317460318,Muy Fuerte,🔵,numerical,931.7460317460318,0.404515520006095,922,False,No Significativo,🔴,numerical,Alta Asociación + No Significativa,🟡
checking_account_status,0.3517398804745711,123.72094351626559,Moderada,🟠,categorical,123.72094351626559,1.218902072289385e-26,3,True,Muy Significativo,🔵,categorical,Alta Asociación + Significativa,🟢
duration_months,0.28086818361843396,78.88693656911833,Débil,🟡,numerical,78.88693656911833,7.784571960945855e-06,32,True,Muy Significativo,🔵,numerical,Baja Asociación + Significativa,🟠
credit_history,0.24837752910558455,61.691396964595505,Débil,🟡,categorical,61.691396964595505,1.2791872956750962e-12,4,True,Muy Significativo,🔵,categorical,Baja Asociación + Significativa,🟠
age,0.24005620569962097,57.626981894898734,Débil,🟡,numerical,57.626981894898734,0.27495314446696745,52,False,No Significativo,🔴,numerical,Baja Asociación + No Significativa,🔴
savings_account,0.18999717943279765,36.098928192418704,Débil,🟡,categorical,36.098928192418704,2.761214238568249e-07,4,True,Muy Significativo,🔵,categorical,Baja Asociación + Significativa,🟠
purpose,0.18263747386946128,33.35644686141815,Débil,🟡,categorical,33.35644686141815,0.00011574910079691584,9,True,Muy Significativo,🔵,categorical,Baja Asociación + Significativa,🟠
property,0.15401152971081322,23.719551283864707,Débil,🟡,categorical,23.719551283864707,2.858441573325003e-05,3,True,Muy Significativo,🔵,categorical,Baja Asociación + Significativa,🟠
housing,0.13665286456161427,18.674005392894895,Débil,🟡,categorical,18.674005392894895,8.810311250241031e-05,2,True,Muy Significativo,🔵,categorical,Baja Asociación + Significativa,🟠
employment_since,0.13552960505622672,18.3682738466968,Débil,🟡,categorical,18.3682738466968,0.0010454523491402544,4,True,Altamente Significativo,🟢,categorical,Baja Asociación + Significativa,🟠
other_installment_plans,0.11331013959865258,12.839187735866135,Débil,🟡,categorical,12.839187735866135,0.0016293178186473534,2,True,Altamente Significativo,🟢,categorical,Baja Asociación + Significativa,🟠
personal_status_sex,0.09800619347437206,9.60521395933605,Negligible,🔴,categorical,9.60521395933605,0.022238005469268747,3,True,Significativo,🟡,categorical,Baja Asociación + Significativa,🟠
other_debtors,0.08151911761828781,6.645366537264243,Negligible,🔴,categorical,6.645366537264243,0.036055954027247226,2,True,Significativo,🟡,categorical,Baja Asociación + Significativa,🟠
foreign_worker,0.07629925238843341,5.821575915033861,Negligible,🔴,categorical,5.821575915033861,0.015830754902852903,1,True,Significativo,🟡,categorical,Baja Asociación + Significativa,🟠
installment_rate,0.07400535213857004,5.476792145153753,Negligible,🔴,ordinal,5.476792145153753,0.140033312212848,3,False,No Significativo,🔴,ordinal,Baja Asociación + No Significativa,🔴
existing_credits,0.05168363507896929,2.6711981349760645,Negligible,🔴,ordinal,2.6711981349760645,0.4451440800083001,3,False,No Significativo,🔴,ordinal,Baja Asociación + No Significativa,🔴
job,0.04341838352602698,1.8851560280131707,Negligible,🔴,categorical,1.8851560280131707,0.5965815918843431,3,False,No Significativo,🔴,categorical,Baja Asociación + No Significativa,🔴
telephone,0.034242641998258334,1.1725585310208857,Negligible,🔴,categorical,1.1725585310208857,0.2788761543035742,1,False,No Significativo,🔴,categorical,Baja Asociación + No Significativa,🔴
residence_since,0.027373279825188123,0.7492964483880512,Negligible,🔴,ordinal,0.7492964483880512,0.8615521320413175,3,False,No Significativo,🔴,ordinal,Baja Asociación + No Significativa,🔴
people_liable,0.0,0.0,Negligible,🔴,ordinal,0.0,1.0,1,False,No Significativo,🔴,ordinal,Baja Asociación + No Significativa,🔴
